anno,settimana,luogo,tipo_valore,id_valore,orizzonte,valore
2024,13,04,quantile,0.2,4,2.1099130283224405
2024,13,05,quantile,0.2,1,3.302871459694989
2024,13,05,quantile,0.2,2,2.656742483660131
2024,13,05,quantile,0.2,3,1.989740888888889
2024,13,05,quantile,0.2,4,1.9361003921568627
2024,13,06,quantile,0.2,1,3.066952069716775
2024,13,06,quantile,0.2,2,2.4669751633986925
2024,13,06,quantile,0.2,3,1.9690451111111111
2024,13,06,quantile,0.2,4,1.9192360784313727
2024,13,IT,quantile,0.2,1,4.010629629629629
2024,13,IT,quantile,0.2,2,3.226044444444444
2024,13,IT,quantile,0.2,3,2.3455214814814815
2024,13,IT,quantile,0.2,4,1.9866933333333334
2024,13,07,quantile,0.2,1,4.097133405954974
2024,13,07,quantile,0.2,2,3.2956257952069716
2024,13,07,quantile,0.2,3,2.3961111604938274
2024,13,07,quantile,0.2,4,1.9928769150326797
2024,13,08,quantile,0.2,1,3.955581771968046
2024,13,08,quantile,0.2,2,3.1817654030501084
2024,13,08,quantile,0.2,3,2.313328049382716
2024,13,08,quantile,0.2,4,1.9827583267973856
2024,13,09,quantile,0.2,1,4.9778991285403045
2024,13,09,quantile,0.2,2,4.004090457516339
2024,13,09,quantile,0.2,3,2.911206074074074
2024,13,09,quantile,0.2,4,2.3722467973856216
2024,13,10,quantile,0.2,1,3.987037690631808
2024,13,10,quantile,0.2,2,3.2070677124183007
2024,13,10,quantile,0.2,3,2.3317242962962963
2024,13,10,quantile,0.2,4,1.9850069019607843
2024,13,11,quantile,0.2,1,3.8926699346405225
2024,13,11,quantile,0.2,2,3.1311607843137255
2024,13,11,quantile,0.2,3,2.2765355555555558
2024,13,11,quantile,0.2,4,1.9782611764705884
2024,13,14,quantile,0.2,1,3.2478236020334057
2024,13,14,quantile,0.2,2,2.612463442265795
2024,13,14,quantile,0.2,3,1.984911874074074
2024,13,14,quantile,0.2,4,1.932165385620915
2024,13,15,quantile,0.2,1,3.232095642701525
2024,13,15,quantile,0.2,2,2.5998122875816994
2024,13,15,quantile,0.2,3,1.9835321555555556
2024,13,15,quantile,0.2,4,1.9310410980392159
2024,13,16,quantile,0.2,1,6.7315665940450256
2024,13,16,quantile,0.2,2,5.414694204793029
2024,13,16,quantile,0.2,3,3.936796839506173
2024,13,16,quantile,0.2,4,3.2079672331154696
2024,13,17,quantile,0.2,1,3.3579193173565716
2024,13,17,quantile,0.2,2,2.7010215250544656
2024,13,17,quantile,0.2,3,1.9945699037037037
2024,13,17,quantile,0.2,4,1.9400353986928105
2024,13,18,quantile,0.2,1,3.9083978939724036
2024,13,18,quantile,0.2,2,3.143811938997821
2024,13,18,quantile,0.2,3,2.2857336790123455
2024,13,18,quantile,0.2,4,1.9793854640522877
2024,13,12,quantile,0.2,1,1.9842828649237472
2024,13,12,quantile,0.2,2,1.9286696209150327
2024,13,12,quantile,0.2,3,1.8662560814814815
2024,13,12,quantile,0.2,4,1.8354766535947713
2024,13,13,quantile,0.2,1,1.963050119825708
2024,13,13,quantile,0.2,2,1.9115905620915032
2024,13,13,quantile,0.2,3,1.8538386148148147
2024,13,13,quantile,0.2,4,1.825358065359477
2024,13,19,quantile,0.2,1,6.2990477124183
2024,13,19,quantile,0.2,2,5.066787450980392
2024,13,19,quantile,0.2,3,3.683848444444444
2024,13,19,quantile,0.2,4,3.0018478431372557
2024,13,20,quantile,0.2,1,2.374921859114016
2024,13,20,quantile,0.2,2,1.9865486535947712
2024,13,20,quantile,0.2,3,1.9083374962962965
2024,13,20,quantile,0.2,4,1.8697674248366014
2024,13,21,quantile,0.2,1,3.216367683369644
2024,13,21,quantile,0.2,2,2.587161132897603
2024,13,21,quantile,0.2,3,1.9821524370370371
2024,13,21,quantile,0.2,4,1.9299168104575164
2024,13,01,quantile,0.25,1,5.438100217864923
2024,13,01,quantile,0.25,2,4.496397385620915
2024,13,01,quantile,0.25,3,3.403721481481482
2024,13,01,quantile,0.25,4,2.8868183006535952
2024,13,02,quantile,0.25,1,1.9148535130718953
2024,13,02,quantile,0.25,2,1.8776478431372547
2024,13,02,quantile,0.25,3,1.8344773888888888
2024,13,02,quantile,0.25,4,1.8140550980392156
2024,13,03,quantile,0.25,1,1.939130746187364
2024,13,03,quantile,0.25,2,1.8977210457516338
2024,13,03,quantile,0.25,3,1.849672574074074
2024,13,03,quantile,0.25,4,1.8269426797385622
2024,13,04,quantile,0.25,1,4.556027414669571
2024,13,04,quantile,0.25,2,3.7670710239651415
2024,13,04,quantile,0.25,3,2.85162975308642
